SYMBOL,TM Limit Proprietary,LMT Overall Limit
360ONE,7388500,11082500
ABB,1589250,2383875
ABCAPITAL,24530300,36797000
ADANIENSOL,8758125,13136850
ADANIENT,9823419,14734974
ADANIGREEN,18562800,27844800
ADANIPORTS,16878650,25318450
ALKEM,1466750,2200250
AMBER,651400,977200
AMBUJACEM,15967350,23951550
ANGELONE,1934500,2901750
APLAPOLLO,4613350,6920200
APOLLOHOSP,3104875,4657375
ASHOKLEY,84740000,127115000
ASIANPAINT,9877750,14816500
ASTRAL,3689850,5534775
AUBANK,17274000,25911000
AUROPHARMA,8395200,12593350
AXISBANK,59273750,88911250
BAJAJ-AUTO,3181275,4771950
BAJAJFINSV,13140250,19710250
BAJAJHLDNG,1080350,1620550
BAJFINANCE,63504750,95257500
BANDHANBNK,28857600,43286400
BANKBARODA,55893825,83842200
BANKINDIA,36353200,54527200
BDL,2757300,4135950
BEL,107154300,160732875
BHARATFORG,8021500,12032000
BHARTIARTL,73416950,110125425
BHEL,38472000,57708000
BIOCON,18210000,27315000
BLUESTARCO,3442400,5163925
BOSCHLTD,176400,264600
BPCL,61203275,91805900
BRITANNIA,3274125,4911250
BSE,12218625,18328125
CAMS,7424250,11136000
CANBK,100858500,151294500
CDSL,5329500,7994250
CGPOWER,20611650,30917900
CHOLAFIN,12651250,18976875
CIPLA,11859375,17788875
COALINDIA,55640250,83461050
COFORGE,10037625,15056625
COLPAL,3909150,5863725
CONCOR,10327500,15491250
CROMPTON,19315800,28974600
CUMMINSIND,3826200,5739200
DABUR,17973750,26961250
DALBHARAT,2484950,3727425
DELHIVERY,22422450,33633675
DIVISLAB,2979600,4469400
DIXON,1290400,1935650
DLF,19210950,28817250
DMART,3750000,5625000
DRREDDY,18306250,27459375
EICHERMOT,3839800,5759700
ETERNAL,250260000,375392425
EXIDEIND,13770000,20656800
FEDERALBNK,64125000,96190000
FORTIS,15589900,23384850
GAIL,87138450,130706100
GLENMARK,4516875,6775500
GMRAIRPORT,106940700,160411050
GODREJCP,14406000,21609000
GODREJPROP,3452625,5179075
GRASIM,7701000,11551500
HAL,5690100,8535150
HAVELLS,7133500,10700000
HCLTECH,21371350,32057200
HDFCAMC,6118200,9177600
HDFCBANK,266138950,399208150
HDFCLIFE,25769700,38654000
HEROMOTOCO,3917250,5875950
HINDALCO,42434700,63652400
HINDPETRO,28785375,43179075
HINDUNILVR,18200100,27300300
HINDZINC,32249350,48374025
HUDCO,15012750,22519125
ICICIBANK,116120200,174180300
ICICIGI,5749575,8624200
ICICIPRULI,11748425,17623100
IDEA,2407420950,3611131425
IDFCFIRSTB,187364275,281051050
IEX,26677500,40016250
INDHOTEL,26425000,39638000
INDIANB,10572000,15858000
INDIGO,6774900,10162350
INDUSINDBK,18761400,28142100
INDUSTOWER,38724300,58085600
INFY,73740400,110610800
INOXWIND,28939625,43411225
IOC,136977750,205466625
IRCTC,6500375,9751000
IREDA,23801550,35700600
IRFC,40188000,60286250
ITC,250480000,375720000
JINDALSTEL,9651250,14476875
JIOFIN,71071050,106605400
JSWENERGY,16077000,24115000
JSWSTEEL,26686800,40030200
JUBLFOOD,11751250,17627500
KALYANKJIL,11530275,17296000
KAYNES,935800,1403800
KEI,1710625,2566025
KFINTECH,3984500,5977000
KOTAKBANK,156204000,234306000
KPITTECH,4917675,7376725
LAURUSLABS,11725750,17588200
LICHSGFIN,9036000,13554000
LICI,6640900,9961700
LODHA,8425350,12637800
LT,27221775,40832750
LTF,25418250,38128500
LTIM,1934400,2901600
LUPIN,7276000,10914425
M&M,19090400,28635600
MANAPPURAM,16440000,24660000
MANKIND,3383775,5075775
MARICO,15888000,23832000
MARUTI,3537400,5306100
MAXHEALTH,22243725,33365325
MAZDOCK,2272800,3409200
MCX,7635000,11453125
MFSL,6783600,10175600
